﻿レベル,場所,表面,条件値,騎手,件数,複勝率,人気補正期待複勝率,差pt,z,判定
距離,阪神,ダート,1800,今村聖奈,103,11.650485436893204,23.457032351183425,-11.806546914290223,-3.1028779091093814,×
距離,阪神,ダート,1400,角田大河,106,19.81132075471698,11.537088653833935,8.274232100883047,2.862120412668243,◎
距離,札幌,ダート,1700,佐々木大,103,16.50485436893204,27.998236916771113,-11.493382547839074,-2.764147667602415,×
距離,函館,芝,1200,佐々木大,132,36.36363636363637,28.75455957392609,7.609076789710273,2.0547389571912063,◎
距離,京都,ダート,1400,田口貫太,194,13.402061855670103,22.183597897821205,-8.781536042151103,-3.5455235582840734,×
距離,京都,芝,1600,田口貫太,131,24.427480916030532,16.32240682532555,8.105074090704983,2.739386093256955,◎
距離,阪神,ダート,1400,田口貫太,140,25.71428571428571,15.339651742405616,10.374633971880096,3.9346622620508263,◎
距離,京都,ダート,1800,高杉吏麒,124,31.451612903225808,22.163830792863052,9.287782110362755,2.570656661061843,◎
距離区分,札幌,ダート,中距離,丹内祐次,235,33.61702127659574,27.322206078528254,6.2948151980674885,2.367252807730044,◎
距離区分,札幌,ダート,中距離,吉田隼人,121,20.66115702479339,29.96374836730535,-9.30259134251196,-2.390914392610317,×
距離区分,札幌,芝,中距離,武豊,123,32.52032520325203,40.48895557665341,-7.968630373401381,-2.0135299211089794,×
距離区分,函館,芝,中距離,丹内祐次,205,34.63414634146341,28.85279271325036,5.781353628213054,1.9871476805089832,◎
距離区分,函館,芝,中距離,藤岡佑介,108,24.074074074074073,32.63244030341526,-8.558366229341189,-2.087571726492737,×
距離区分,函館,芝,短距離,古川吉洋,115,9.565217391304348,17.557971014492757,-7.992753623188409,-2.469101434631843,×
距離区分,福島,芝,中距離,丹内祐次,137,25.547445255474454,35.60198957853284,-10.054544323058384,-2.7851073670864976,×
距離区分,福島,芝,中距離,石橋脩,115,19.130434782608695,26.617784902510422,-7.487350119901725,-2.0458719827801457,×
距離区分,新潟,芝,中距離,荻野極,107,33.64485981308411,26.095485409076126,7.5493744040079855,2.0690477368537787,◎
距離区分,新潟,芝,中距離,菊沢一樹,152,16.447368421052634,10.134169661016195,6.313198760036438,2.715084072644639,◎
距離区分,新潟,芝,短距離,秋山稔樹,100,7.000000000000001,13.696432065409835,-6.6964320654098355,-2.07379228502482,×
距離区分,新潟,芝,短距離,丸田恭介,110,12.727272727272727,19.753045009715567,-7.025772282442841,-2.1072880991272105,×
距離区分,新潟,芝,短距離,原優介,125,13.600000000000001,8.38931430989662,5.210685690103382,2.334494125821147,◎
距離区分,新潟,芝,短距離,津村明秀,130,33.84615384615385,22.834888080643392,11.011265765510455,3.2264414502440495,◎
距離区分,東京,ダート,短距離,田辺裕信,328,23.170731707317074,29.307305835394587,-6.136574128077513,-2.6477217112295133,×
距離区分,東京,芝,マイル,ルメール,303,63.6963696369637,48.02214660227103,15.674223034692675,5.624164614852029,◎
距離区分,東京,芝,短距離,ルメール,195,58.97435897435898,51.58776481658296,7.386594157776017,2.163693126056368,◎
距離区分,東京,芝,中距離,石橋脩,188,25.0,19.467371563131607,5.532628436868392,2.0409061996074502,◎
距離区分,東京,芝,中距離,ルメール,403,66.99751861042184,57.479029906692006,9.518488703729833,3.9864951767298997,◎
距離区分,東京,芝,中距離,吉田豊,198,18.181818181818183,12.873522690894902,5.308295490923282,2.4798528611524073,◎
距離区分,東京,芝,マイル,田辺裕信,198,34.34343434343434,22.993927649868976,11.349506693565367,4.178025926988363,◎
距離区分,東京,芝,中距離,松山弘平,122,33.60655737704918,25.88819247529931,7.718364901749869,2.1043873142806784,◎
距離区分,東京,芝,中距離,戸崎圭太,360,43.888888888888886,38.72343880125947,5.16545008762942,2.135067308184096,◎
距離区分,東京,芝,中距離,丸田恭介,103,3.8834951456310676,13.691511909265028,-9.80801676363396,-3.229738686951812,×
距離区分,中山,芝,短距離,津村明秀,107,12.149532710280374,24.827577871109593,-12.678045160829221,-3.2926492588224194,×
距離区分,中山,ダート,短距離,柴田大知,223,12.556053811659194,7.016680520831563,5.53937329082763,3.4338619202322236,◎
距離区分,中山,芝,マイル,丹内祐次,177,9.6045197740113,15.675488117465322,-6.070968343454022,-2.467699564758916,×
距離区分,中山,芝,マイル,田辺裕信,193,24.870466321243523,34.8575832989865,-9.987116977742971,-3.179866984724227,×
距離区分,中山,芝,マイル,吉田豊,145,13.10344827586207,19.80358773637558,-6.70013946051351,-2.3712737463191202,×
距離区分,中山,芝,中距離,ルメール,224,55.80357142857143,63.18984368169546,-7.386272253124027,-2.403119579831466,×
距離区分,中山,芝,マイル,ルメール,163,46.62576687116564,59.19824711510632,-12.572480243940676,-3.3728300567316354,×
距離区分,中山,芝,マイル,三浦皇成,190,31.57894736842105,25.57311425809669,6.00583311032436,2.0670326537062405,◎
距離区分,中山,芝,短距離,戸崎圭太,116,32.758620689655174,43.095644008169955,-10.337023318514788,-2.4159606271695986,×
距離区分,中京,ダート,短距離,西村淳也,223,29.596412556053814,23.11938163937746,6.477030916676354,2.4390717997215297,◎
距離区分,中京,芝,マイル,岩田望来,116,48.275862068965516,37.9641012357863,10.311760833179218,2.442311045632804,◎
距離区分,中京,ダート,短距離,福永祐一,118,50.847457627118644,42.49956130290735,8.347896324211291,1.9646940912707516,◎
距離区分,中京,芝,中距離,幸英明,153,27.450980392156865,19.061783758629964,8.389196633526902,2.831823167365608,◎
距離区分,中京,ダート,中距離,小崎綾也,105,14.285714285714285,21.208104982853907,-6.922390697139622,-2.0917583158068394,×
距離区分,京都,芝,中距離,幸英明,171,22.807017543859647,16.729463372860213,6.077554170999436,2.2858359958267895,◎
距離区分,京都,芝,短距離,松若風馬,121,11.570247933884298,19.117040606931894,-7.5467926730475945,-2.281588062079738,×
距離区分,阪神,ダート,短距離,古川吉洋,197,18.274111675126903,12.82494791519779,5.449163759929113,2.5819786064978634,◎
