レースID,クッション値
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
2.02009E+17,9.7
