年月日,場所,R,馬番,レース名,芝・ダ,距離,馬名,性別,騎手,調教師,所属,父,芝・ダ,コースID,所属,日にち判定,前日判定,水曜日判定,木曜日判定,先週の土曜日判定,先週の日曜日判定,2w前の土曜日判定,2w前の日曜日判定,坂2w前 土 TIME1,坂2w前 土 LAP1,坂2w前 土 LAP2,坂2w前 日 TIME1,坂2w前 日 LAP1,坂2w前 日 LAP2,坂1w前 土 TIME1,坂1w前 土 LAP1,坂1w前 土 LAP2,坂1w前 日 TIME1,坂1w前 日 LAP1,坂1w前 日 LAP2, 坂 水 TIME1, 坂 水 LAP1, 坂 水 LAP2, 坂 水 LAP3, 坂 水 LAP4, 坂 木 TIME1, 坂 木 LAP1, 坂 木 LAP2, 坂 木 LAP3, 坂 木 LAP4, 坂 前日 TIME1,ウ2w前 土 １F,ウ2w前 日 １F,ウ1w前 土 １F,ウ1w前 土 5F,ウ1w前 日 １F,ウ1w前 日 5F,ウ 水 1F,ウ 水 4F,ウ 水 5F,ウ 水 6F,ウ 木 1F,ウ 木 4F,ウ 木 5F,ウ 木 6F,調教師判定,ウ 水1F,ウ 木1F,ウ 1F判定,ウ 前日 5F,水曜日A3,木曜日A3,A3LAP判定,水曜日B3,木曜日B3,B3LAP判定,前日坂路TIME,前日坂路TIME１判定,水曜坂路爆速,木曜坂路爆速,坂路爆速判定,水曜地雷ラップ,木曜地雷ラップ,地雷ラップ判定,コース判定,A3高勝率Lap,本命候補判定,相手候補判定,ZI,脚質,枠,レースID,血統登録番号
20260801,札幌,3,2,未勝利,ダ,1700,エボニードール,牝,舟山瑠泉,寺島良,栗,キタサンブラック,1,札幌ダ1700,2,R8.8.1,エボニードール46234,エボニードール46232,エボニードール46233,エボニードール46228,エボニードール46229,エボニードール46221,エボニードール46222,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,FALSE,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,99,先,2,2.02608E+17,23102889
20260801,札幌,3,3,未勝利,ダ,1700,アズライトアスール,牡,佐々木大,鈴木孝志,栗,ミッキーアイル,1,札幌ダ1700,2,R8.8.1,アズライトアスール46234,アズライトアスール46232,アズライトアスール46233,アズライトアスール46228,アズライトアスール46229,アズライトアスール46221,アズライトアスール46222,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,98,追,3,2.02608E+17,23100785
20260801,札幌,3,4,未勝利,ダ,1700,コーリンクレア,牝,小沢大仁,小野次郎,美,マテラスカイ,1,札幌ダ1700,1,R8.8.1,コーリンクレア46234,コーリンクレア46232,コーリンクレア46233,コーリンクレア46228,コーリンクレア46229,コーリンクレア46221,コーリンクレア46222,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,108,差,4,2.02608E+17,23104194
20260801,札幌,3,5,未勝利,ダ,1700,アルジェンタム,セ,横山和生,野中賢二,栗,シルバーステート,1,札幌ダ1700,2,R8.8.1,アルジェンタム46234,アルジェンタム46232,アルジェンタム46233,アルジェンタム46228,アルジェンタム46229,アルジェンタム46221,アルジェンタム46222,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,FALSE,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,102,マ,5,2.02608E+17,23105675
20260801,札幌,3,6,未勝利,ダ,1700,ハイテイラオユエ,牡,横山武史,辻哲英,美,クリソベリル,1,札幌ダ1700,1,R8.8.1,ハイテイラオユエ46234,ハイテイラオユエ46232,ハイテイラオユエ46233,ハイテイラオユエ46228,ハイテイラオユエ46229,ハイテイラオユエ46221,ハイテイラオユエ46222,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,115,差,6,2.02608E+17,23102520
20260801,札幌,3,7,未勝利,ダ,1700,マクローリン,牡,小林美駒,加藤公太,栗,ヴァンゴッホ,1,札幌ダ1700,2,R8.8.1,マクローリン46234,マクローリン46232,マクローリン46233,マクローリン46228,マクローリン46229,マクローリン46221,マクローリン46222,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,95,追,6,2.02608E+17,23101994
20260801,札幌,3,8,未勝利,ダ,1700,リテラシー,牡,松本大輝,昆貢,栗,サートゥルナーリア,1,札幌ダ1700,2,R8.8.1,リテラシー46234,リテラシー46232,リテラシー46233,リテラシー46228,リテラシー46229,リテラシー46221,リテラシー46222,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,107,追,7,2.02608E+17,23105215
20260801,札幌,3,9,未勝利,ダ,1700,アンタレス,牡,和田陽希,藤野健太,栗,キズナ,1,札幌ダ1700,2,R8.8.1,アンタレス46234,アンタレス46232,アンタレス46233,アンタレス46228,アンタレス46229,アンタレス46221,アンタレス46222,なし,なし,なし,58.2,13.3,13.6,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,91,追,7,2.02608E+17,23100017
20260801,札幌,3,10,未勝利,ダ,1700,セブンワンダーズ,牡,斎藤新,斎藤誠,美,キセキ,1,札幌ダ1700,1,R8.8.1,セブンワンダーズ46234,セブンワンダーズ46232,セブンワンダーズ46233,セブンワンダーズ46228,セブンワンダーズ46229,セブンワンダーズ46221,セブンワンダーズ46222,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,FALSE,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,103,逃,8,2.02608E+17,23100928
20260801,札幌,3,11,未勝利,ダ,1700,バンダムソレール,牡,河原田菜,小栗実,栗,ルーラーシップ,1,札幌ダ1700,2,R8.8.1,バンダムソレール46234,バンダムソレール46232,バンダムソレール46233,バンダムソレール46228,バンダムソレール46229,バンダムソレール46221,バンダムソレール46222,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,111,差,8,2.02608E+17,23102317
