年月日,場所,R,馬番,レース名,芝・ダ,距離,馬名,性別,騎手,調教師,所属,父,芝・ダ,コースID,所属,日にち判定,前日判定,水曜日判定,木曜日判定,先週の土曜日判定,先週の日曜日判定,2w前の土曜日判定,2w前の日曜日判定,坂2w前 土 TIME1,坂2w前 土 LAP1,坂2w前 土 LAP2,坂2w前 日 TIME1,坂2w前 日 LAP1,坂2w前 日 LAP2,坂1w前 土 TIME1,坂1w前 土 LAP1,坂1w前 土 LAP2,坂1w前 日 TIME1,坂1w前 日 LAP1,坂1w前 日 LAP2, 坂 水 TIME1, 坂 水 LAP1, 坂 水 LAP2, 坂 木 TIME1, 坂 木 LAP1, 坂 木 LAP2, 坂 前日 TIME1,ウ2w前 土 １F,ウ2w前 日 １F,ウ1w前 土 １F,ウ1w前 土 5F,ウ1w前 日 １F,ウ1w前 日 5F,ウ 水 1F,ウ 水 4F,ウ 水 5F,ウ 木 1F,ウ 木 4F,ウ 木 5F,調教師判定,ウ 水1F,ウ 木1F,ウ 1F判定,ウ 前日 5F,水曜日A3,木曜日A3,A3LAP判定,水曜日B3,木曜日B3,B3LAP判定,前日坂路TIME,前日坂路TIME１判定,水曜坂路爆速,木曜坂路爆速,坂路爆速判定,水曜地雷ラップ,木曜地雷ラップ,地雷ラップ判定,コース判定,本命候補判定,相手候補判定,ZI,脚質,枠
20260712,函館,2,9,未勝利・牝,芝,2000,エアヴァイブス,牝,武豊,福永祐一,栗,コントレイル,2,函館芝2000,2,R8.7.12,エアヴァイブス46214,エアヴァイブス46211,エアヴァイブス46212,エアヴァイブス46207,エアヴァイブス46208,エアヴァイブス46200,エアヴァイブス46201,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,117,差,6
20260712,函館,2,10,未勝利・牝,芝,2000,アーミル,牝,小沢大仁,高柳大輔,栗,シルバーステート,2,函館芝2000,2,R8.7.12,アーミル46214,アーミル46211,アーミル46212,アーミル46207,アーミル46208,アーミル46200,アーミル46201,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,89,差,7
20260712,函館,2,11,未勝利・牝,芝,2000,サウンドファミリエ,牝,河原田菜,和田正一,美,シルバーステート,2,函館芝2000,1,R8.7.12,サウンドファミリエ46214,サウンドファミリエ46211,サウンドファミリエ46212,サウンドファミリエ46207,サウンドファミリエ46208,サウンドファミリエ46200,サウンドファミリエ46201,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,95,差,7
20260712,函館,2,12,未勝利・牝,芝,2000,ワンダージェム,牝,佐々木大,石坂公一,栗,ワールドエース,2,函館芝2000,2,R8.7.12,ワンダージェム46214,ワンダージェム46211,ワンダージェム46212,ワンダージェム46207,ワンダージェム46208,ワンダージェム46200,ワンダージェム46201,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,FALSE,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,97,差,8
20260712,函館,2,13,未勝利・牝,芝,2000,ヴィンテール,牝,鷲頭虎太,池江泰寿,栗,エピファネイア,2,函館芝2000,2,R8.7.12,ヴィンテール46214,ヴィンテール46211,ヴィンテール46212,ヴィンテール46207,ヴィンテール46208,ヴィンテール46200,ヴィンテール46201,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,90,追,8
20260712,函館,3,1,未勝利,ダ,1700,ファントムグレース,牝,小沢大仁,本田優,栗,サトノダイヤモンド,1,函館ダ1700,2,R8.7.12,ファントムグレース46214,ファントムグレース46211,ファントムグレース46212,ファントムグレース46207,ファントムグレース46208,ファントムグレース46200,ファントムグレース46201,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,86,　,1
20260712,函館,3,2,未勝利,ダ,1700,サクセスゴールド,牡,吉田隼人,久保田貴,美,ルヴァンスレーヴ,1,函館ダ1700,1,R8.7.12,サクセスゴールド46214,サクセスゴールド46211,サクセスゴールド46212,サクセスゴールド46207,サクセスゴールド46208,サクセスゴールド46200,サクセスゴールド46201,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,109,先,2
20260712,函館,3,3,未勝利,ダ,1700,コーリンクレア,牝,横山和生,小野次郎,美,マテラスカイ,1,函館ダ1700,1,R8.7.12,コーリンクレア46214,コーリンクレア46211,コーリンクレア46212,コーリンクレア46207,コーリンクレア46208,コーリンクレア46200,コーリンクレア46201,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,94,　,3
20260712,函館,3,4,未勝利,ダ,1700,ジャストアダッシュ,牡,和田陽希,藤野健太,栗,サンライズソア,1,函館ダ1700,2,R8.7.12,ジャストアダッシュ46214,ジャストアダッシュ46211,ジャストアダッシュ46212,ジャストアダッシュ46207,ジャストアダッシュ46208,ジャストアダッシュ46200,ジャストアダッシュ46201,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,98,差,3
20260712,函館,3,5,未勝利,ダ,1700,セラサイト,牝,斎藤新,茶木太樹,栗,クリソベリル,1,函館ダ1700,2,R8.7.12,セラサイト46214,セラサイト46211,セラサイト46212,セラサイト46207,セラサイト46208,セラサイト46200,セラサイト46201,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,90,先,4
